BlkNumber;BlkRoute;BlkVehType;TrpNumber;TrpType;TrpRoute;TrpVia;TrpDirection;TrpStartPlace;TrpEndPlace;TrpStartTime;TrpEndTime;TrpDistance;TrpDuration;TrpEndLay;TrpExtraLay
04-janv;T3;;6211;REG;T3;2;DIR2;CIDJ_d;CASPOR;11:25:31;11:56:54;9.007;00:31:23;00:00:00;00:00:00
11-janv;T3;;6212;REG;T3;2;DIR2;CIDJ_d;CASPOR;11:49:31;12:20:54;9.007;00:31:23;00:00:00;00:00:00
02-janv;T3;;6213;REG;T3;2;DIR2;CIDJ_d;CASPOR;12:13:31;12:44:54;9.007;00:31:23;00:00:00;00:00:00
07-janv;T3;;6214;REG;T3;2;DIR2;CIDJ_d;CASPOR;12:37:31;13:08:54;9.007;00:31:23;00:00:00;00:00:00
08-janv;T3;;6215;REG;T3;2;DIR2;CIDJ_d;CASPOR;13:01:31;13:32:54;9.007;00:31:23;00:00:00;00:00:00
03-janv;T3;;6216;REG;T3;2;DIR2;CIDJ_d;CASPOR;13:25:31;13:56:54;9.007;00:31:23;00:00:00;00:00:00
06-janv;T3;;6217;REG;T3;2;DIR2;CIDJ_d;CASPOR;13:49:31;14:20:54;9.007;00:31:23;00:00:00;00:00:00
12-janv;T3;;6218;REG;T3;2;DIR2;CIDJ_d;CASPOR;14:13:31;14:44:54;9.007;00:31:23;00:00:00;00:00:00
04-janv;T3;;6219;REG;T3;2;DIR2;CIDJ_d;CASPOR;14:37:31;15:08:54;9.007;00:31:23;00:00:00;00:00:00
11-janv;T3;;6220;REG;T3;2;DIR2;CIDJ_d;CASPOR;15:01:31;15:32:54;9.007;00:31:23;00:00:00;00:00:00
02-janv;T3;;6223;REG;T3;2;DIR2;CIDJ_d;CASPOR;15:21:31;15:52:54;9.007;00:31:23;00:00:00;00:00:00
06-janv;T3;;7237;REG;T3;2;DIR2;HANT_d;CASPOR;15:24:00;16:08:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;7014;REG;T3;2;DIR2;HANT_d;CASPOR;07:08:00;07:52:54;13.470;00:44:54;00:00:00;00:00:00
05-janv;T3;;7015;REG;T3;2;DIR2;HANT_d;CASPOR;07:24:00;08:08:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;7016;REG;T3;2;DIR2;HANT_d;CASPOR;07:40:00;08:24:54;13.470;00:44:54;00:00:00;00:00:00
07-janv;T3;;7017;REG;T3;2;DIR2;HANT_d;CASPOR;07:56:00;08:40:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;7018;REG;T3;2;DIR2;HANT_d;CASPOR;08:15:00;08:59:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;7019;REG;T3;2;DIR2;HANT_d;CASPOR;08:39:00;09:23:54;13.470;00:44:54;00:00:00;00:00:00
10-janv;T3;;7614;REG;T3;2;DIR2;HANT_d;CASPOR;07:00:00;07:44:54;13.470;00:44:54;00:00:00;00:00:00
06-janv;T3;;7023;REG;T3;2;DIR2;CIDJ_d;CASPOR;07:29:31;08:00:54;9.007;00:31:23;00:00:00;00:00:00
02-janv;T3;;7024;REG;T3;2;DIR2;CIDJ_d;CASPOR;07:45:31;08:16:54;9.007;00:31:23;00:00:00;00:00:00
01-janv;T3;;7025;REG;T3;2;DIR2;CIDJ_d;CASPOR;08:01:31;08:32:54;9.007;00:31:23;00:00:00;00:00:00
04-janv;T3;;7026;REG;T3;2;DIR2;CIDJ_d;CASPOR;08:17:31;08:48:54;9.007;00:31:23;00:00:00;00:00:00
11-janv;T3;;7027;REG;T3;2;DIR2;CIDJ_d;CASPOR;08:40:31;09:11:54;9.007;00:31:23;00:00:00;00:00:00
02-janv;T3;;7028;REG;T3;2;DIR2;CIDJ_d;CASPOR;09:04:31;09:35:54;9.007;00:31:23;00:00:00;00:00:00
02-janv;T3;;7031;REG;T3;1;DIR1;CASPOR;CIDJ_a;07:03:00;07:34:20;9.007;00:31:20;00:00:00;00:00:00
